symbol,city,administrative,population,foundation,area_km2
Coat of arms of Sarny.svg,Сарни,Рівненська область,28 144,1648 ,21.15
Svalyava gerb.png,Свалява,Закарпатська область,17 145,XII ст.,10.50
Svatovo coa.png,Сватове,Луганська область,19 495,1660-ті,27.00
Svitlovodsk coat of arms.png,Світловодськ,Кіровоградська область,50 094,1954,45.00
Svitlodarsk gerb.gif,Світлодарськ,Донецька область,13 184,1970,2.12
Герб Святогорска (большой).png,Святогірськ,Донецька область,5 136,1571,8.26
COA of Sevastopol.svg,Севастополь,м. Севастополь міськрада,342 451,1783,864.00
Selidovo gerb.png,Селидове,Донецька область,26 793,1770,10.80
Semenivka city coa.png,Семенівка,Чернігівська область,9 656,1680,19.90
Ser bud1.png,Середина-Буда,Сумська область,7 511,1650,27.00
Severodoneck gerb.png,Сєвєродонецьк,Луганська область,119 940,1934,74.60
Coat of Arms of Synelnykove.svg,Синельникове,Дніпропетровська область,32 302,XIX ст.,23.00
Герб Северска.gif,Сіверськ,Донецька область,14 393,1913,12.50
COA Simferopol.svg,Сімферополь,Автономна Республіка Крим,343 644,1784,107.41
Skadov s.png,Скадовськ,Херсонська область,19 641,1894,14.30
Skalat gerb.png,Скалат,Тернопільська область,4 036,1512,6.00
Skvyra gerb.png,Сквира,Київська область,18 126,1390,63.28
Skole s.gif,Сколе,Львівська область,6 742,X ст.,4.59
Slavuta gerb.png,Славута,Хмельницька область,34 340,XVII ст.,20.00
Slavutich gerb.png,Славутич,Київська область,24 402,1986,20.83
Coat of Arms of Sloviansk.svg,Слов'янськ,Донецька область,124 829,1645,60.80
Smela2.gif,Сміла,Черкаська область,69 681,1542,39.85
Coat of arms of Snihurivka.png,Снігурівка,Миколаївська область,15 447,1812,7.58
Snizhne coat of arms.svg,Сніжне,Донецька область,58 496,1784,18.90
Coat of Arms of Snovsk raion.svg,Сновськ,Чернігівська область,12 315,1860,12.80
Sniatyn coa IIRP.png,Снятин,Івано-Франківська область,10 479,1158,35.29
Sokal coats of arms.png,Сокаль,Львівська область,21 693,1377 ,8.47
Sokiryany gerb.png,Сокиряни,Чернівецька область,10 258,1610,14.80
Soledar coat of arms.svg,Соледар,Донецька область,13 151,XVII ст.,14.10
COA krasnodon.PNG,Сорокине,Луганська область,50 560,1914,77.33
Sosnivka.lv.gerb.png,Соснівка,Львівська область,11 889,1955,1.98
COA Staryi Krym Krym.svg,Старий Крим,Автономна Республіка Крим,10 101,I ст.,10.00
Coat of Arms of Staryi Sambir.svg,Старий Самбір,Львівська область,5 706,1199,14.50
Starobilsk gerb.png,Старобільськ,Луганська область,22 371,1686,13.32
Coat of Arms of Starokostiantyniv.png,Старокостянтинів,Хмельницька область,35 206,1561,40.00
Stebnyk.gif,Стебник,Львівська область,20 863,1596,8.90
Storoghinets Herb.svg,Сторожинець,Чернівецька область,14 693,1448,5.80
Coat Of Arms of Stryi.png,Стрий,Львівська область,62 479,1385 ,16.95
Russian COA of Sudak (2015).png,Судак,Автономна Республіка Крим,14 495,212,14.30
Sudova vyshnya gerb.png,Судова Вишня,Львівська область,6 668,1230,28.10
Sumy-COA.PNG,Суми,Сумська область,293 141,1652,95.40
Suhodol gerb.gif,Суходільськ,Луганська область,23 642,1914,10.00
Tavriysk gerb.png,Таврійськ,Херсонська область,11 452,1983,14.90
Герб Тального.jpg,Тальне,Черкаська область,16 388,XVII ст.,161.00
Tarascha gerb.png,Тараща,Київська область,13 452,1709,36.96
Tatarbunary gerb.png,Татарбунари,Одеська область,10 797,XVI ст.,28.50
Coat of Arms of Teplodar.svg,Теплодар,Одеська область,8 830,1983,3.00
Coat of Arms of Terebovlia.svg,Теребовля,Тернопільська область,13 661,1097 ,11.00
Ternivka CoA.png,Тернівка,Дніпропетровська область,29 226,1775,18.00
Coat of arms of Ternopil.svg,Тернопіль,Тернопільська область,227 755,1540,72.00
Tetiyiv gerb.png,Тетіїв,Київська область,14 944,1185,13.04
Tysmen gerb.gif,Тисмениця,Івано-Франківська область,9 790,XII ст.,38.00
Tlumach gerb.png,Тлумач,Івано-Франківська область,8 831,1213,19.57
Tokmak gerb.png,Токмак,Запорізька область,36 275,1784,32.46
Toretsk COA.png,Торецьк,Донецька область,43 371,1806,21.43
Trostyanets gerb.png,Тростянець,Сумська область,23 308,1660,26.63
Coat of Arms of Truskavets.svg,Трускавець,Львівська область,31 037,1469 ,7.00
Tulchyn gerb.png,Тульчин,Вінницька область,16 136,1607,9.26
Turka gerb.png,Турка,Львівська область,7 681,IX ст.,3.00
Tjachv gerb.png,Тячів,Закарпатська область,9 786,1329,27.00
Uhniv gerb.png,Угнів,Львівська область,1 021,1360 ,2.48
Coat of arms of the city of Uzhhorod.svg,Ужгород,Закарпатська область,117 317,IX ст.,65.00
Uzyn coa.png,Узин,Київська область,13 217,1590,80.00
Ukrainka gerb.png,Українка,Київська область,14 163,XV ст. ,5.91
Ukrayinsk gerb.png,Українськ,Донецька область,13 236,1952,4.20
Umany gerb.png,Умань,Черкаська область,88 735,1616,41.00
UKR Ustilug COA.png,Устилуг,Волинська область,2 283,1150,4.00
Coat of Arms of Fastiv.png,Фастів,Київська область,51 976,1390,43.00
Feodos s.png,Феодосія,Автономна Республіка Крим,74 669,VI ст.,35.00
Coat of arms of Kharkiv.svg,Харків,Харківська область,1 470 902,1654,350.00
Khartsyzsk city coa.gif,Харцизьк,Донецька область,64 175,1869,19.30
Coat of arms of Kherson.svg,Херсон,Херсонська область,328 360,1778,145.00
Hyrov4.png,Хирів,Львівська область,4 590,1374 ,3.43
Coat of Arms of Khmelnitsky.svg,Хмельницький,Хмельницька область,290 000,1431,93.05
Hmilnyk city gerb.png,Хмільник,Вінницька область,27 898,1362 ,20.50
Ua-khoa.png,Ходорів,Львівська область,10 565,1394 ,8.25
Khorol herb.png,Хорол,Полтавська область,14 753,1083,11.00
Khorostkiv.jpg,Хоростків,Тернопільська область,7 306,1564,10.00
Gerb of Khotyn full.png,Хотин,Чернівецька область,11 216,1002,20.39
Kirovske gerb.png,Хрестівка,Донецька область,30 910,1954,7.25
Christinivka gerb.png,Христинівка,Черкаська область,11 650,1574,13.00
Герб Красного Луча.png,Хрустальний,Луганська область,94 875,1895,153.56
Hust gerb.png,Хуст,Закарпатська область,29 080,1329,22.00
Chasiv Yar coat of arms (lesser).svg,Часів Яр,Донецька область,16 612,1876,18.00
Coat of Arms of Chervonohrad.svg,Червоноград,Львівська область,70 568,1692,21.00
COA Cherkasy Cherkaska Ukraine.svg,Черкаси,Черкаська область,295 414,1284,69.00
Coat of arms of Chernivtsi.svg,Чернівці,Чернівецька область,240 621,1408,153.00
Coat of Arms of Chernihiv.svg,Чернігів,Чернігівська область,304 994,907,79.00
Coat of arms of Chyhyryn.jpg,Чигирин,Черкаська область,11 960,XVI ст.,10.70
Emblem torez.png,Чистякове,Донецька область,72 346,1778,83.50
Coat of Arms of Chop.svg,Чоп,Закарпатська область,8 919,1281,6.19
—,Чорнобиль,Київська область,0,1193 ,4.00
Chornomorsk gerb.png,Чорноморськ,Одеська область,54 151,XVIII ст.,25.00
Coat of Arms Chortkiv.PNG,Чортків,Тернопільська область,29 057,1522,30.00
Coat of Arms Chuhuiv.png,Чугуїв,Харківська область,36 789,1680,12.77
COA of Chudniv.png,Чуднів,Житомирська область,5 752,1416,10.00
Герб Шаргорода.png,Шаргород,Вінницька область,7 161,1585,6.87
Shahtarsk gerb.png,Шахтарськ,Донецька область,59 589,1764,19.69
Coat of Arms of Shepetivka.svg,Шепетівка,Хмельницька область,48 212,1594 ,40.00
Schostka-COA.PNG,Шостка,Сумська область,87 130,XVIII ст.,43.69
Coat of arms of shpola.PNG,Шпола,Черкаська область,19 427,1594,61.29
Shumsk gerb.png,Шумськ,Тернопільська область,5 161,1149,5.00
Coat of arms of Shchastia.png,Щастя,Луганська область,13 770,XVIII ст.,1.11
COA Shcholkine.svg,Щолкіне,Автономна Республіка Крим,11 699,1978,3.42
Coat of Arms of Yuzhne.png,Южне,Одеська область,23 977,1974,10.42
Yuzhnoukrainsk gerb.PNG,Южноукраїнськ,Миколаївська область,38 206,1976,24.38
Yavoriv gerb.gif,Яворів,Львівська область,13 510,1376 ,23.35
Yahotyn-gerb.png,Яготин,Київська область,23 659,1552,57.50
COA Yalta Krym.svg,Ялта,Автономна Республіка Крим,81 654,XII ст.,28.29
Coat of arms of Yampil Vinnitsa oblast.png,Ямпіль,Вінницька область,11 787,1600,9.50
Yaremche coa.png,Яремче,Івано-Франківська область,7 850,1787,114.00
Yasinuvata gerb.png,Ясинувата,Донецька область,37 552,1872,19.00
