city,administrative,population_2014,population_2001
Хрестівка,Донецька,28 155,30 910
Переяслав-Хмельницький,Київська,27 864,31 634
Малин,Житомирська,26 886,28 113
Вишгород,Київська,26 866,22 933
Бахчисарай,Автономна Республіка Крим,26 651,27 549
Гайсин,Вінницька,25 879,25 640
Коростишів,Житомирська,25 845,26 068
Лебедин,Сумська,25 816,28 948
Перевальськ,Луганська,25 744,29 665
Виноградів,Закарпатська,25 580,25 760
Дебальцеве,Донецька,25 525,30 246
Канів,Черкаська,25 354,26 657
Олешки,Херсонська,25 086,24 123
Славутич,Київська,24 952,24 402
Здолбунів,Рівненська,24 693,24 612
Берегове,Закарпатська,24 371,26 735
Гадяч,Полтавська,24 187,22 698
Козятин,Вінницька,24 180,26 635
Золочів,Львівська,24 119,23 481
Селидове,Донецька,23 989,26 793
Броди,Львівська,23 803,23 239
Вільногірськ,Дніпропетровська,23 766,23 782
Знам'янка,Кіровоградська,23 743,29 412
Докучаєвськ,Донецька,23 641,24 383
Кролевець,Сумська,23 507,25 183
Саки,Автономна Республіка Крим,23 391,29 416
Волноваха,Донецька,23 164,24 647
Молодогвардійськ,Луганська,23 113,25 528
Ладижин,Вінницька,22 783,22 219
Лиман,Донецька,22 409,28 172
Мерефа,Харківська,22 383,25 018
Армянськ,Автономна Республіка Крим,22 286,23 869
Надвірна,Івано-Франківська,22 255,20 932
Люботин,Харківська,21 853,24 173
Попасна,Луганська,21 765,25 951
Полонне,Хмельницька,21 651,23 211
Кременець,Тернопільська,21 624,22 051
Сокаль,Львівська,21 371,21 693
Красноград,Харківська,21 231,22 670
Тростянець,Сумська,21 220,23 308
Стебник,Львівська,20 988,20 863
Суходільськ,Луганська,20 949,23 642
Долина,Івано-Франківська,20 654,20 906
Кілія,Одеська,20 449,22 594
Яготин,Київська,20 340,23 659
Кремінна,Луганська,20 137,24 447
Генічеськ,Херсонська,20 132,21 793
Курахове,Донецька,19 950,21 479
Пологи,Запорізька,19 750,22 206
Красилів,Хмельницька,19 679,20 580
