city,lat,lng,country,iso2,admin,capital,population,population_proper
Borodyanka,50.644842,29.920103,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Lokachi,50.736995,24.649436,Ukraine,UA,Volyns’ka Oblast’,minor,,
Chechel’nyk,48.215087,29.367276,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Korop,51.566383,32.958609,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Lysyanka,49.25229,30.829463,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Berdychiv,49.899285,28.602346,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Volodymyr-Volyns’kyy,50.852533,24.323645,Ukraine,UA,Volyns’ka Oblast’,minor,,
Pechenihy,49.871671,36.934718,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Pereyaslav-Khmel’nyts’kyy,50.067391,31.44969,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Okhtyrka,50.310359,34.898787,Ukraine,UA,Sums’ka Oblast’,minor,,
Nyzhni Sirohozy,46.848415,34.380442,Ukraine,UA,Khersons’ka Oblast’,minor,,
Vasyl’kiv,50.186925,30.313457,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Vasyl’kivka,48.206979,36.023649,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Velyka Novosilka,47.845308,36.835343,Ukraine,UA,Donets’ka Oblast’,minor,,
Drabiv,49.960292,32.140698,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Kobelyaky,49.148924,34.196526,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Lityn,49.32509,28.080942,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Tomakivka,47.815692,34.741368,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Frunzivka,47.33232,29.759027,Ukraine,UA,Odes’ka Oblast’,minor,,
Kostopil’,50.878408,26.45192,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Krasnoarmiys’k,48.281976,37.175847,Ukraine,UA,Donets’ka Oblast’,minor,,
Kryve Ozero,47.952417,30.349282,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Vysokopillya,47.491873,33.530611,Ukraine,UA,Khersons’ka Oblast’,minor,,
Mizhhir”ya,48.52458,23.505627,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Troyits’ke,49.914497,38.292771,Ukraine,UA,Luhans’ka Oblast’,minor,,
Veselynove,47.356659,31.234882,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Zolotonosha,49.668321,32.040468,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Baranivka,50.3,27.666667,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Karlivka,49.457232,35.129753,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Tomashpil’,48.542563,28.516836,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Domanivka,47.631923,30.988515,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Bohuslav,49.549391,30.874396,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Krasyliv,49.65186,26.972525,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Ostroh,50.329419,26.514252,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Mukacheve,48.439187,22.717792,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Tarutyne,46.186356,29.15203,Ukraine,UA,Odes’ka Oblast’,minor,,
Kulykivka,51.37345,31.646606,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Oleksandriya,48.669614,33.115934,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Ul’yanovka,48.331053,30.22702,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Svatove,49.410287,38.15035,Ukraine,UA,Luhans’ka Oblast’,minor,,
Chernyakhiv,50.456524,28.67018,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Kehychivka,49.289436,35.763621,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Marhanets’,47.635427,34.627694,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Khust,48.1793,23.299091,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Ratne,51.668301,24.530296,Ukraine,UA,Volyns’ka Oblast’,minor,,
Mena,51.521697,32.215683,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Kompaniyivka,48.251149,32.207949,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Putyla,47.988688,25.094547,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Yampil’,51.947069,33.783909,Ukraine,UA,Sums’ka Oblast’,minor,,
Novoazovs’k,47.115877,38.085189,Ukraine,UA,Donets’ka Oblast’,minor,,
Novoaydar,48.963911,39.005829,Ukraine,UA,Luhans’ka Oblast’,minor,,
Saky,45.134243,33.599965,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Ivankiv,50.938645,29.894255,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Kolomyya,48.531152,25.036487,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Krasnokuts’k,50.066022,35.162754,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Horodok,49.784649,23.648061,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Kryvyy Rih,47.909659,33.380438,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Kalanchak,46.256228,33.2907,Ukraine,UA,Khersons’ka Oblast’,minor,,
Chudniv,50.052037,28.11745,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Chuhuyiv,49.835884,36.688028,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Velyka Pysarivka,50.424305,35.47989,Ukraine,UA,Sums’ka Oblast’,minor,,
Pryazovs’ke,46.734258,35.642511,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Kirovs’ke,45.229672,35.199866,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Milove,49.375278,40.132222,Ukraine,UA,Luhans’ka Oblast’,minor,,
Beryslav,46.841522,33.42838,Ukraine,UA,Khersons’ka Oblast’,minor,,
Onufriyivka,48.907156,33.448686,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Brats’ke,47.863598,31.583925,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Pervomays’ke,45.717437,33.855955,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Radekhiv,50.282488,24.64279,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Bar,49.07717,27.682559,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Bohodukhiv,50.164661,35.527652,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Stryy,49.262228,23.856087,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Krasyatychi,51.076358,29.64899,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Nosivka,50.931518,31.582825,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Volodarka,49.524836,29.912219,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Volochys’k,49.537476,26.215681,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Chaplynka,46.365071,33.540274,Ukraine,UA,Khersons’ka Oblast’,minor,,
Turiys’k,51.086445,24.522941,Ukraine,UA,Volyns’ka Oblast’,minor,,
Turka,49.154109,23.029673,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Dobropillya,48.461472,37.085242,Ukraine,UA,Donets’ka Oblast’,minor,,
Lypova Dolyna,50.564281,33.797934,Ukraine,UA,Sums’ka Oblast’,minor,,
Haysyn,48.811429,29.389766,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Fastiv,50.0767,29.917704,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Rakhiv,48.0526,24.200889,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Shyshaky,49.876505,34.004731,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Sverdlovs’k,48.089643,39.652429,Ukraine,UA,Luhans’ka Oblast’,minor,,
Dunayivtsi,49.020778,26.841217,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Bilohir”ya,50.00263,26.428244,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Krasnoperekops’k,45.957156,33.796499,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Monastyrys’ka,49.089088,25.173266,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Bereznehuvate,47.30783,32.84993,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Slov”yans’k,48.841361,37.589484,Ukraine,UA,Donets’ka Oblast’,minor,,
Slov”yanoserbs’k,48.697794,38.981329,Ukraine,UA,Luhans’ka Oblast’,minor,,
Bobrynets’,48.058963,32.166411,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Bilokurakyne,49.534099,38.73067,Ukraine,UA,Luhans’ka Oblast’,minor,,
Vyzhnytsya,48.248007,25.194524,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Pereval’s’k,48.437789,38.843836,Ukraine,UA,Luhans’ka Oblast’,minor,,
Tsyurupyns’k,46.61842,32.718903,Ukraine,UA,Khersons’ka Oblast’,minor,,
Brody,50.087911,25.150269,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Mlyniv,50.508996,25.616753,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Krynychky,48.375511,34.46701,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Trostyanets’,50.484778,34.965668,Ukraine,UA,Sums’ka Oblast’,minor,,
Trostyanets’,48.509613,29.234819,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Pishchanka,48.207267,28.886068,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Yavoriv,49.938639,23.382543,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Zmiyiv,49.674527,36.347751,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Lebedyn,50.585182,34.484896,Ukraine,UA,Sums’ka Oblast’,minor,,
Kakhovka,46.813706,33.486977,Ukraine,UA,Khersons’ka Oblast’,minor,,
Shums’k,50.121571,26.114243,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Kozova,49.435442,25.15086,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Boryspil’,50.352691,30.955006,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Starobesheve,47.750378,38.030512,Ukraine,UA,Donets’ka Oblast’,minor,,
Novovorontsovka,47.500353,33.917485,Ukraine,UA,Khersons’ka Oblast’,minor,,
Buryn’,51.199121,33.83523,Ukraine,UA,Sums’ka Oblast’,minor,,
Myrhorod,49.968545,33.60886,Ukraine,UA,Poltavs’ka Oblast’,minor,,
P”yatykhatky,48.411006,33.70398,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Nova Vodolaha,49.719011,35.865784,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Rokytne,51.279599,27.214004,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Brusyliv,50.284486,29.526264,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Dykan’ka,49.825008,34.52787,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Heniches’k,46.175921,34.803403,Ukraine,UA,Khersons’ka Oblast’,minor,,
Kreminna,49.049499,38.21792,Ukraine,UA,Luhans’ka Oblast’,minor,,
Shakhtars’k,48.056568,38.438257,Ukraine,UA,Donets’ka Oblast’,minor,,
Stanytsya Luhans’ka,48.654329,39.479433,Ukraine,UA,Luhans’ka Oblast’,minor,,
Lubny,50.016254,32.996938,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Bolhrad,45.682621,28.614872,Ukraine,UA,Odes’ka Oblast’,minor,,
Solone,48.20805,34.872076,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Khorol,49.783671,33.278331,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Myronivka,49.660074,30.982246,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Zhydachiv,49.384678,24.142544,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Sarny,51.337949,26.601913,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Volovets’,48.713164,23.19126,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Apostolove,47.660028,33.713686,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Lyuboml’,51.22601,24.037274,Ukraine,UA,Volyns’ka Oblast’,minor,,
Kropyvnyts’kyy,48.513199,32.259702,Ukraine,UA,Kirovohrads’ka Oblast’,admin,,
Polohy,47.484444,36.253611,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Tokmak,47.255218,35.71238,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Vesele,47.014791,34.915036,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Snihurivka,47.07579,32.805164,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Oleksandrivka,48.963361,32.234925,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Reni,45.457273,28.293171,Ukraine,UA,Odes’ka Oblast’,minor,,
Popil’nya,49.964652,29.448081,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Nemyriv,48.970761,28.837793,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Yelanets’,47.696823,31.852532,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Mala Vyska,48.64308,31.636574,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
