city,population,foundation,area_km2,lat,lng
Зміїв,17063,1604,55.8,49.674527000000005,36.347751
Знам'янка,29412,1869,14.8,48.712778,32.664722
Золотоноша,28793,1576,21.65,49.668321,32.040468
Золочів,23481,1424 ,11.65,50.736995,24.649435999999998
Івано-Франківськ,218359,1662,83.7,48.921504,24.709716
Ізмаїл,84815,1812,53.6,45.349286,28.840794
Ізюм,56114,1681,43.6,49.208754,37.248484999999995
Ізяслав,18444,1390 ,23.91,50.119467,26.821253999999996
Іллінці,11186,1440,10.87,49.104791,29.217732
Іршава,9515,1341,15.8,48.31667,23.038459
Ічня,12780,XIV ст.,16.16,48.207267,28.886067999999998
Кагарлик,13757,1142 ,21.0,49.862333,30.82815
Калинівка,20061,XVIII ст.,9.8,51.37345,31.646606
Калуш,67902,1437,64.53,49.011872,24.373077
Камінь-Каширський,10818,XIII ст.,7.64,51.62412,24.958641
Кам'янець-Подільський,99610,XII ст.,27.9,48.684503,26.585592
Кам'янка-Бузька,11674,1411 ,8.63,50.106546,24.344509
Кам'янка-Дніпровська,15522,1786,21.0,47.484813,34.41146
Канів,26657,1078 ,17.42,49.751825,31.460044
Карлівка,17995,1711,16.0,49.457232,35.129753
Каховка,38238,1791,8.3,46.813705999999996,33.486977
Керч,157007,530 до н. е.,108.0,45.360696000000004,36.470597
Київ,2611327,482,847.66,50.433333000000005,30.516666999999998
Ківерці,16678,1870,8.48,50.834247999999995,25.45821
Кілія,22594,862,19.5,45.455181,29.263671999999996
Кіцмань,7608,XV ст.,8.6,48.443571,25.766796
Кобеляки,12076,1620,15.0,49.148924,34.196526
Ковель,66401,1310,47.3,51.215259,24.708669
Кодима,9634,1754,10.53,48.09875,29.12463
Козятин,26635,1734,20.1,49.714312,28.833848
Коломия,61989,1241,41.1,48.531152,25.036487
Конотоп,92657,XVII ст.,43.78,51.240317,33.202633
Корець,8649,1150,6.0,50.913345,31.121398
Коростень,66669,705,42.31,50.959369,28.638546999999996
Коростишів,26068,1495 ,9.74,51.076358,29.64899
Корсунь-Шевченківський,19311,1032,118.65,49.418938,31.258651
Корюківка,14318,1657,22.0,51.768772,32.248129999999996
Косів,8301,1424,11.38,48.310708,25.095751999999997
Костопіль,30467,XVIII ст.,63.73,50.878408,26.45192
Костянтинівка,95111,1870,66.04,48.251149,32.207949
Красилів,20580,1444 ,28.0,49.65186,26.972525
Красногорівка,16714,1870-ті,11.0,48.682039,37.532662
Красноград,22670,1731,39.78,48.292352,39.739213
Красноперекопськ (Яни Капу),31023,1932,22.42,45.957156,33.796499
Кременець,22051,1226 ,18.14,48.465034,26.834571
Кременчук,234073,1571,92.0,49.072005,33.427482
Кремінна,24447,1679,15.72,49.049499,38.21792
Кривий Ріг,668980,1775,410.0,47.911299,33.453925
Кролевець,25183,1601,34.54,51.54775,33.384754
Кропивницький,254103,1754,103.0,48.375510999999996,34.467009999999995
Куп'янськ,32449,1655,33.33,49.710545,37.615169
Ланівці,8680,1444,15.0,49.863275,26.09082
Лебедин,28948,1654,27.4,50.585182,34.484896
Липовець,9406,1545 ,10.33,48.713164,23.19126
Лисичанськ,115229,1710,95.64,48.904848,38.442066
Лозова,64041,1869,19.6,49.435442,25.15086
Лохвиця,12389,1320 ,30.88,50.367757,33.260244
Лубни,52572,988,45.6,50.016253999999996,32.996938
Луганськ,463097,1795,286.2,48.567046000000005,39.31706
Лутугине,18833,1897,5.0,48.40507,39.226754
Луцьк,208816,1085,42.0,50.759319,25.342436
Львів,732818,1256 ,182.0,49.840661,24.030451
Любомль,10395,1287,12.0,51.226009999999995,24.037274
Люботин,24173,1650,31.1,49.32509,28.080941999999997
Макіївка,389589,1690,426.0,48.047816,37.925764
Мала Виска,13132,1752,12.1,48.64308,31.636574
Малин,28113,891 ,60.9,50.508996,25.616753
Марганець,49592,1937,37.0,47.635427,34.627694
Маріуполь,492176,1778,134.7,47.105705,37.533086
Мар'їнка,10722,1844,13.74,47.945271000000005,37.505435999999996
Мелітополь,160657,1784,49.66,46.848912,35.365334000000004
Мена,12940,1408 ,9.95,51.521696999999996,32.215683
Миколаїв,14801,1570,5.0,46.965909,31.997403000000002
Миколаївка,16620,XVIII ст.,6.5,47.541348,30.756146
Миргород,42886,XII ст.,19.0,49.968545,33.60886
Миронівка,13368,XVII ст.,11.5,49.660074,30.982246000000004
Могилів-Подільський,32853,1595,21.63,48.445983,27.798197
Монастириська,6344,1454,11.0,49.089088000000004,25.173266
Монастирище,9463,1050,5.51,49.391239,30.190221
Мостиська,9150,1244,12.8,49.792266999999995,23.151249
Мукачево,82346,896,27.9,48.439187,22.717792000000003
Надвірна,20932,1589,25.53,48.634799,24.569364
Немирів,12082,1506,11.0,48.970760999999996,28.837792999999998
Ніжин,76625,1078 ,50.5,51.048014,31.886882
Нікополь,136280,1782,50.0,47.571186,34.396369
Нова Одеса,14070,1776,20.65,47.307783,31.785063
Новгород-Сіверський,15175,1044,11.81,52.005772,33.261497999999996
Новий Буг,16250,1810,12.0,47.693084000000006,32.521601000000004
Новоазовськ,12702,1849,8.0,47.115877000000005,38.085189
Нововолинськ,53838,1951,20.0,47.500353000000004,33.917485
Новоград-Волинський,56259,1257,26.67,50.594120000000004,27.616503
Новодружеськ,9025,1935,14.0,48.658029,30.818214
Новомиргород,13220,1740,88.58,48.781046999999994,31.642042
Новомосковськ,72439,1672,36.0,48.637985,35.245477
Новоселиця,8400,1456,6.47,48.837157,27.274337
Новоукраїнка,19353,1769,20.6,48.326353000000005,31.528521
Носівка,15966,1147 ,26.85,50.931518,31.582825
Обухів,32776,1362,24.2,50.106891999999995,30.618475
Овруч,17031,977,9.0,51.324595,28.803514
Одеса,1029049,1794,162.42,46.463934,30.738551
Олександрівськ,7045,1772,10.4,48.963361,32.234925
Олександрія,93357,1754 ,55.0,48.669614,33.115934
Оріхів,17955,1783,10.0,47.567311,35.785748
Острог,14801,1100 ,10.9,50.329419,26.514252000000003
Охтирка,50399,1641,31.86,50.310359000000005,34.898787
Очаків,16929,1415,12.49,46.612829,31.549822
Павлоград,118816,1779,59.3,48.534261,35.870985
Первомайськ,43082,1765,8.9,45.717437,33.855955
Первомайський,32523,1869,30.8,49.387419,36.214707000000004
Перевальськ,29665,1902,30.0,48.437789,38.843835999999996
Перемишляни,7565,1437,4.65,49.665229,24.558457
Перечин,7083,1427,7.45,48.736157,22.481999
Переяслав-Хмельницький,31634,907 ,32.0,50.067391,31.449690000000004
Пирятин,16664,1154,72.28,51.668301,24.530296
Підгайці,3280,1015,3.14,49.268535,25.133412
Погребище,10754,1148 ,8.7,49.486387,29.263613
Покровськ,69154,1875,29.57,45.229671999999994,35.199866
Пологи,22206,1887,16.0,47.484444,36.253611
Полонне,23211,996 ,23.53,48.20805,34.872076
Полтава,317998,899,103.0,49.593727,34.540733
Попасна,25951,1878,29.0,48.633277,38.378037
Прилуки,64861,1085 ,42.0,50.593235,32.387614
Приморськ,12973,1800,25.0,46.734258000000004,35.642511
Пустомити,9798,1441,13.4,49.715321,23.912951
Путивль,17354,1146 ,10.51,47.988688,25.094547
П'ятихатки,20563,1886,18.38,48.411006,33.70398
Радехів,9230,1494 ,16.26,50.282488,24.642789999999998
Радивилів,10311,1564 ,6.4,50.83398,33.876256
Радомишль,15326,1150,6.5,50.496132,29.229108
Рахів,15241,1447,5.7,48.0526,24.200889
Рені,20481,1821,39.3,45.457273,28.293171
Рівне,248813,1283 ,63.0,50.623079,26.22743
Рогатин,8607,1184,15.0,49.409003000000006,24.609265
Родинське,11996,1950,6.7,50.644842,29.920103000000005
Рожище,13636,1377,10.0,50.915425,25.269054999999998
Роздільна,17754,1863,7.2,46.851755,30.079543
Ромни,50448,1096 ,26.7,50.751038,33.474713
Рудки,4942,1472,3.8,51.801046,31.083827000000003
Саки,29416,XIV ст.,28.74,45.134243,33.599965000000005
Самбір,36556,1241,24.0,49.518301,23.197525
Сарни,28144,1648 ,21.15,51.337949,26.601913
Сватове,19495,1660-ті,27.0,49.410287,38.15035
Світловодськ,50094,1954,45.0,49.048938,33.241063
Світлодарськ,13184,1970,2.12,49.524836,29.912219
Севастополь,342451,1783,864.0,44.58828,33.5224
Селидове,26793,1770,10.8,47.356659,31.234882
Семенівка,9656,1680,19.9,49.590311,33.180486
Середина-Буда,7511,1650,27.0,52.189025,34.036392
Синельникове,32302,XIX ст.,23.0,47.409942,38.024763
Сіверськ,14393,1913,12.5,48.089643,39.652429
Сімферополь,343644,1784,107.41,44.957186,34.110787
Скадовськ,19641,1894,14.3,47.75305,29.532053
Сквира,18126,1390,63.28,49.731771,29.665694000000002
Сколе,6742,X ст.,4.59,49.037169,23.513457
Славута,34340,XVII ст.,20.0,50.301552,26.865060999999997
Слов'янськ,124829,1645,60.8,48.841361,37.589484000000006
Сміла,69681,1542,39.85,49.22242,31.887138
Снігурівка,15447,1812,7.58,50.502756,31.784917
Сновськ,12315,1860,12.8,45.34267,34.924631
Снятин,10479,1158,35.29,48.446922,25.569371
Сокаль,21693,1377 ,8.47,50.474378,24.282882
Сокиряни,10258,1610,14.8,48.447466,27.416781
Сорокине,50560,1914,77.33,49.534099,38.73067
Старий Самбір,5706,1199,14.5,49.438556,23.000557999999998
Старобільськ,22371,1686,13.32,49.278321000000005,38.910692
Старокостянтинів,35206,1561,40.0,49.757637,27.20342
Стебник,20863,1596,8.9,48.665658,29.745034999999998
Сторожинець,14693,1448,5.8,48.164295,25.720285
Стрий,62479,1385 ,16.95,49.262228,23.856087
Суми,293141,1652,95.4,50.921597,34.800294
Тальне,16388,XVII ст.,161.0,48.888771999999996,30.694819
Тараща,13452,1709,36.96,49.558316,30.492592
Татарбунари,10797,XVI ст.,28.5,45.837308,29.614243
Теребовля,13661,1097 ,11.0,48.456429,36.436699
Тернопіль,227755,1540,72.0,49.555887,25.605565
Тетіїв,14944,1185,13.04,49.376698,29.664738
Тисмениця,9790,XII ст.,38.0,48.902190000000004,24.844815
Тлумач,8831,1213,19.57,48.86403,25.003249
Токмак,36275,1784,32.46,47.255218,35.712379999999996
Тростянець,23308,1660,26.63,50.484778000000006,34.965668
Тульчин,16136,1607,9.26,48.674479999999996,28.846412
Турка,7681,IX ст.,3.0,49.154109000000005,23.029673000000003
Тячів,9786,1329,27.0,50.638793,24.360026
Ужгород,117317,IX ст.,65.0,48.616667,22.3
Узин,13217,1590,80.0,47.909719,31.31963
Українськ,13236,1952,4.2,51.086445,24.522941
Умань,88735,1616,41.0,48.748384,30.221840999999998
Фастів,51976,1390,43.0,50.0767,29.917703999999997
Харків,1470902,1654,350.0,49.980814,36.252718
Херсон,328360,1778,145.0,46.655814,32.6178
Хирів,4590,1374 ,3.43,50.464077,29.811277
Хмельницький,290000,1431,93.05,49.421608,26.996529
Хмільник,27898,1362 ,20.5,49.555224,27.965751
Хорол,14753,1083,11.0,51.566383,32.958609
Хоростків,7306,1564,10.0,47.007771000000005,33.72899
Хотин,11216,1002,20.39,48.15571,24.791124
Христинівка,11650,1574,13.0,48.824883,29.968055
Хуст,29080,1329,22.0,48.1793,23.299091
Червоноград,70568,1692,21.0,50.467838,28.271303999999997
Черкаси,295414,1284,69.0,49.428536,32.06207
Чернівці,240621,1408,153.0,48.291488,25.940341
Чернігів,304994,907,79.0,51.505507,31.284875
Чигирин,11960,XVI ст.,10.7,49.07018,32.678563
Чистякове,72346,1778,83.5,49.710431,35.165709
Чорнобиль,0,1193 ,4.0,50.267317,32.941964
Чорноморськ,54151,XVIII ст.,25.0,45.506572,32.697765000000004
Чортків,29057,1522,30.0,49.188893,29.526971000000003
Чугуїв,36789,1680,12.77,49.835884,36.688028
Чуднів,5752,1416,10.0,50.052037,28.11745
Шаргород,7161,1585,6.87,48.738346,28.084969
Шахтарськ,59589,1764,19.69,48.056568,38.438257
Шепетівка,48212,1594 ,40.0,48.729325,34.633583
Шостка,87130,XVIII ст.,43.69,51.862956,33.469803999999996
Шпола,19427,1594,61.29,49.006871999999994,31.394708
Шумськ,5161,1149,5.0,50.121571,26.114243
Яворів,13510,1376 ,23.35,49.938639,23.382543
Яготин,23659,1552,57.5,49.072627000000004,26.2141
Ялта,81654,XII ст.,28.29,44.502179999999996,34.166238
Ямпіль,11787,1600,9.5,51.947069,33.783909
Яремче,7850,1787,114.0,51.812603,26.129022
Ясинувата,37552,1872,19.0,48.129804,37.859402
